No.,Time,Source,Destination,Protocol,Length,Source Port,Destination Port,Host,Server,Source Mac,Dest Mac,Info
1,2/8/2015 13:20,172.16.137.40,172.16.137.40,DHCP,342,68,67,172.16.137.40,172.16.137.1,08:00:2b:ef:ab:7c,00:1d:7e:7c:c4:8d,DHCP Request  - Transaction ID 0xfe9ceb09
2,2/8/2015 13:20,172.16.137.1,172.16.137.1,DHCP,349,67,68,172.16.137.1,255.255.255.255,00:1d:7e:7c:c4:8d,ff:ff:ff:ff:ff:ff,DHCP ACK      - Transaction ID 0xfe9ceb09
3,2/8/2015 13:20,172.16.137.40,172.16.137.40,IGMPv3,60,,,172.16.137.40,igmp.mcast.net,08:00:2b:ef:ab:7c,01:00:5e:00:00:16,Membership Report / Leave group 224.0.0.252
4,2/8/2015 13:20,172.16.137.40,172.16.137.40,IGMPv3,60,,,172.16.137.40,igmp.mcast.net,08:00:2b:ef:ab:7c,01:00:5e:00:00:16,Membership Report / Join group 224.0.0.252 for any sources
5,2/8/2015 13:20,172.16.137.40,172.16.137.40,IGMPv3,60,,,172.16.137.40,igmp.mcast.net,08:00:2b:ef:ab:7c,01:00:5e:00:00:16,Membership Report / Leave group 224.0.0.252
6,2/8/2015 13:20,172.16.137.40,172.16.137.40,IGMPv3,60,,,172.16.137.40,igmp.mcast.net,08:00:2b:ef:ab:7c,01:00:5e:00:00:16,Membership Report / Join group 224.0.0.252 for any sources
7,2/8/2015 13:20,172.16.137.40,172.16.137.40,LLMNR,67,58408,5355,172.16.137.40,224.0.0.252,08:00:2b:ef:ab:7c,01:00:5e:00:00:fc,Standard query 0xc293 ANY Mike-PC
8,2/8/2015 13:20,172.16.137.40,172.16.137.40,LLMNR,67,58408,5355,172.16.137.40,224.0.0.252,08:00:2b:ef:ab:7c,01:00:5e:00:00:fc,Standard query 0xc293 ANY Mike-PC
9,2/8/2015 13:20,172.16.137.40,172.16.137.40,IGMPv3,60,,,172.16.137.40,igmp.mcast.net,08:00:2b:ef:ab:7c,01:00:5e:00:00:16,Membership Report / Join group 224.0.0.252 for any sources
10,2/8/2015 13:25,,,ARP,60,,,,,08:00:2b:ef:ab:7c,ff:ff:ff:ff:ff:ff,ARP Announcement for 172.16.137.32
11,2/8/2015 13:25,172.16.137.1,172.16.137.1,DHCP,349,67,68,172.16.137.1,255.255.255.255,00:1d:7e:7c:c4:8d,ff:ff:ff:ff:ff:ff,DHCP ACK      - Transaction ID 0x44f77b93
12,2/8/2015 13:25,172.16.137.40,172.16.137.40,IGMPv3,60,,,172.16.137.40,igmp.mcast.net,08:00:2b:ef:ab:7c,01:00:5e:00:00:16,Membership Report / Leave group 224.0.0.252
13,2/8/2015 13:25,172.16.137.40,172.16.137.40,IGMPv3,60,,,172.16.137.40,igmp.mcast.net,08:00:2b:ef:ab:7c,01:00:5e:00:00:16,Membership Report / Join group 224.0.0.252 for any sources
14,2/8/2015 13:25,172.16.137.40,172.16.137.40,IGMPv3,60,,,172.16.137.40,igmp.mcast.net,08:00:2b:ef:ab:7c,01:00:5e:00:00:16,Membership Report / Leave group 224.0.0.252
15,2/8/2015 13:25,172.16.137.40,172.16.137.40,IGMPv3,60,,,172.16.137.40,igmp.mcast.net,08:00:2b:ef:ab:7c,01:00:5e:00:00:16,Membership Report / Join group 224.0.0.252 for any sources
16,2/8/2015 13:25,172.16.137.40,172.16.137.40,LLMNR,67,58501,5355,172.16.137.40,224.0.0.252,08:00:2b:ef:ab:7c,01:00:5e:00:00:fc,Standard query 0x00e3 ANY Mike-PC
17,2/8/2015 13:25,172.16.137.40,172.16.137.40,LLMNR,67,58501,5355,172.16.137.40,224.0.0.252,08:00:2b:ef:ab:7c,01:00:5e:00:00:fc,Standard query 0x00e3 ANY Mike-PC
18,2/8/2015 13:25,172.16.137.40,172.16.137.40,IGMPv3,60,,,172.16.137.40,igmp.mcast.net,08:00:2b:ef:ab:7c,01:00:5e:00:00:16,Membership Report / Join group 224.0.0.252 for any sources
19,2/8/2015 13:29,,,ARP,60,,,,,08:00:2b:ef:ab:7c,ff:ff:ff:ff:ff:ff,ARP Announcement for 172.16.137.47
20,2/8/2015 13:29,,,ARP,60,,,,,08:00:2b:ef:ab:7c,ff:ff:ff:ff:ff:ff,ARP Announcement for 172.16.137.26
21,2/8/2015 13:29,172.16.137.1,172.16.137.1,SSDP,487,1900,1900,172.16.137.1,239.255.255.250,00:1d:7e:7c:c4:8d,01:00:5e:7f:ff:fa,NOTIFY * HTTP/1.1 
22,2/8/2015 13:29,172.16.137.1,172.16.137.1,SSDP,540,1900,1900,172.16.137.1,239.255.255.250,00:1d:7e:7c:c4:8d,01:00:5e:7f:ff:fa,NOTIFY * HTTP/1.1 
23,2/8/2015 13:29,172.16.137.1,172.16.137.1,SSDP,546,1900,1900,172.16.137.1,239.255.255.250,00:1d:7e:7c:c4:8d,01:00:5e:7f:ff:fa,NOTIFY * HTTP/1.1 
24,2/8/2015 13:29,172.16.137.1,172.16.137.1,SSDP,487,1900,1900,172.16.137.1,239.255.255.250,00:1d:7e:7c:c4:8d,01:00:5e:7f:ff:fa,NOTIFY * HTTP/1.1 
25,2/8/2015 13:29,172.16.137.1,172.16.137.1,SSDP,478,1900,1900,172.16.137.1,239.255.255.250,00:1d:7e:7c:c4:8d,01:00:5e:7f:ff:fa,NOTIFY * HTTP/1.1 
26,2/8/2015 13:29,172.16.137.1,172.16.137.1,SSDP,532,1900,1900,172.16.137.1,239.255.255.250,00:1d:7e:7c:c4:8d,01:00:5e:7f:ff:fa,NOTIFY * HTTP/1.1 
27,2/8/2015 13:29,172.16.137.1,172.16.137.1,SSDP,487,1900,1900,172.16.137.1,239.255.255.250,00:1d:7e:7c:c4:8d,01:00:5e:7f:ff:fa,NOTIFY * HTTP/1.1 
