No.,Time,Source,Destination,Protocol,Length,Source Port,Destination Port,Host,Server,Source Mac,Dest Mac,Info
1,8/24/2006 10:35,10.100.25.14,10.100.25.14,TCP,60,1065,139,10.100.25.14,10.100.18.12,00:15:c5:3c:4f:9e,00:03:ff:6c:8b:24,1065  >  139 [SYN] Seq=0 Win=8 Len=0
2,8/24/2006 10:35,10.100.25.14,10.100.25.14,TCP,60,19491,135,10.100.25.14,10.100.18.12,00:15:c5:3c:4f:9e,00:03:ff:6c:8b:24,19491  >  135 [SYN] Seq=0 Win=8 Len=0
3,8/24/2006 10:35,10.100.25.14,10.100.25.14,TCP,60,7358,445,10.100.25.14,10.100.18.12,00:15:c5:3c:4f:9e,00:03:ff:6c:8b:24,7358  >  445 [SYN] Seq=0 Win=8 Len=0
4,8/24/2006 10:35,10.100.25.14,10.100.25.14,TCP,60,27524,80,10.100.25.14,10.100.18.12,00:15:c5:3c:4f:9e,00:03:ff:6c:8b:24,27524  >  80 [SYN] Seq=0 Win=8 Len=0
5,8/24/2006 10:35,10.100.25.14,10.100.25.14,TCP,60,20193,22,10.100.25.14,10.100.18.12,00:15:c5:3c:4f:9e,00:03:ff:6c:8b:24,20193  >  22 [SYN] Seq=0 Win=8 Len=0
6,8/24/2006 10:35,10.100.25.14,10.100.25.14,TCP,60,1023,515,10.100.25.14,10.100.18.12,00:15:c5:3c:4f:9e,00:03:ff:6c:8b:24,1023  >  515 [SYN] Seq=0 Win=8 Len=0
7,8/24/2006 10:35,10.100.25.14,10.100.25.14,TCP,60,16748,23,10.100.25.14,10.100.18.12,00:15:c5:3c:4f:9e,00:03:ff:6c:8b:24,16748  >  23 [SYN] Seq=0 Win=8 Len=0
8,8/24/2006 10:35,10.100.25.14,10.100.25.14,TCP,60,12502,21,10.100.25.14,10.100.18.12,00:15:c5:3c:4f:9e,00:03:ff:6c:8b:24,12502  >  21 [SYN] Seq=0 Win=8 Len=0
9,8/24/2006 10:35,10.100.25.14,10.100.25.14,TCP,60,30382,6000,10.100.25.14,10.100.18.12,00:15:c5:3c:4f:9e,00:03:ff:6c:8b:24,30382  >  6000 [SYN] Seq=0 Win=8 Len=0
10,8/24/2006 10:35,10.100.25.14,10.100.25.14,TCP,60,27986,1025,10.100.25.14,10.100.18.12,00:15:c5:3c:4f:9e,00:03:ff:6c:8b:24,27986  >  1025 [SYN] Seq=0 Win=8 Len=0
