No.,Time,Source,Destination,Protocol,Length,Source Port,Destination Port,Host,Server,Source Mac,Dest Mac,Info
1,2/2/2010 9:40,164.124.33.78,209.193.76.194,TCP,54,35165,80,164.124.33.78,209.193.76.194,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,35165  >  80 [SYN] Seq=0 Win=16384 Len=0
2,2/2/2010 9:40,164.124.33.78,209.193.76.194,TCP,54,80,49171,164.124.33.78,209.193.76.194,a8:b1:d4:ac:fe:7d,00:21:9b:5b:d1:7a,80  >  49171 [ACK] Seq=13709 Ack=641 Win=17856 Len=1367 [TCP segment of a reassembled PDU]
3,2/2/2010 9:40,132.212.36.201,132.212.36.201,TCP,54,31944,80,132.212.36.201,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,31944  >  80 [SYN] Seq=0 Win=16384 Len=0
4,2/2/2010 9:40,76.196.6.157,76.196.6.157,TCP,54,10404,80,adsl-76-196-6-157.dsl.rcsntx.sbcglobal.net,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,10404  >  80 [RST] Seq=1 Win=0 Len=0
5,2/2/2010 9:40,189.109.37.180,189.109.30.67,TCP,54,36076,80,189-109-37-180.customer.tdatabrasil.net.br,189.109.30.67,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,36076  >  80 [SYN] Seq=0 Win=16384 Len=0
6,2/2/2010 9:40,189.109.37.180,189.109.30.67,TCP,54,36084,80,189-109-37-180.customer.tdatabrasil.net.br,189.109.30.67,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,36084  >  80 [SYN] Seq=0 Win=16384 Len=0
7,2/2/2010 9:40,132.212.36.201,132.212.36.201,TCP,54,12034,80,132.212.36.201,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,12034  >  80 [SYN] Seq=0 Win=16384 Len=0
8,2/2/2010 9:40,132.212.36.146,132.212.36.146,TCP,54,31889,80,132.212.36.146,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,31889  >  80 [SYN] Seq=0 Win=16384 Len=0
9,2/2/2010 9:40,189.109.37.180,189.109.30.67,TCP,54,80,49171,189.109.37.180,189.109.30.67,a8:b1:d4:ac:fe:7d,00:21:9b:5b:d1:7a,80  >  49171 [ACK] Seq=13709 Ack=641 Win=17856 Len=1367 [TCP segment of a reassembled PDU]
10,2/2/2010 9:40,189.109.37.184,189.109.37.184,TCP,54,36080,80,189-109-37-184.customer.tdatabrasil.net.br,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,36080  >  80 [SYN] Seq=0 Win=16384 Len=0
11,2/2/2010 9:40,189.109.37.180,164.124.33.164,TCP,54,35251,80,164.124.33.164,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,35251  >  80 [SYN] Seq=0 Win=16384 Len=0
12,2/2/2010 9:40,189.109.37.88,189.109.37.88,TCP,54,35984,80,189-109-37-88.customer.tdatabrasil.net.br,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,35984  >  80 [SYN] Seq=0 Win=16384 Len=0
13,2/2/2010 9:40,76.196.12.188,76.196.12.188,TCP,54,11971,80,76.196.12.188,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,11971  >  80 [SYN] Seq=0 Win=16384 Len=0
14,2/2/2010 9:40,132.212.36.112,132.212.36.112,TCP,54,31855,80,132.212.36.112,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,31855  >  80 [SYN] Seq=0 Win=16384 Len=0
15,2/2/2010 9:40,164.124.33.95,164.124.33.95,TCP,54,35182,80,164.124.33.95,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,35182  >  80 [SYN] Seq=0 Win=16384 Len=0
16,2/2/2010 9:40,189.109.37.180,189.109.30.67,TCP,54,80,49171,189.109.37.180,189.109.30.67,a8:b1:d4:ac:fe:7d,00:21:9b:5b:d1:7a,80  >  49171 [ACK] Seq=13709 Ack=641 Win=17856 Len=1367 [TCP segment of a reassembled PDU]
17,2/2/2010 9:40,164.124.33.94,164.124.33.94,TCP,54,35181,80,164.124.33.94,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,35181  >  80 [SYN] Seq=0 Win=16384 Len=0
18,2/2/2010 9:40,164.124.33.160,164.124.33.160,TCP,54,35247,80,164.124.33.160,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,35247  >  80 [SYN] Seq=0 Win=16384 Len=0
19,2/2/2010 9:40,189.109.37.180,164.124.33.164,TCP,54,14463,80,189.109.37.180,164.124.33.164,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,80  >  14463 [ACK] Seq=13709 Ack=641 Win=17856 Len=1367 [TCP segment of a reassembled PDU]
20,2/2/2010 9:40,132.212.36.219,132.212.36.219,TCP,54,31962,80,spp-aleblond2.uqac.ca,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,31962  >  80 [SYN] Seq=0 Win=16384 Len=0
21,2/2/2010 9:40,132.212.36.201,132.212.36.201,TCP,54,35259,80,132.212.36.201,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,35259  >  80 [SYN] Seq=0 Win=16384 Len=0
22,2/2/2010 9:40,164.124.33.90,164.124.33.90,TCP,54,35177,80,164.124.33.90,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,35177  >  80 [SYN] Seq=0 Win=16384 Len=0
23,2/2/2010 9:40,132.212.36.218,132.212.36.218,TCP,54,31961,80,132.212.36.218,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,31961  >  80 [SYN] Seq=0 Win=16384 Len=0
24,2/2/2010 9:40,164.124.33.70,164.124.33.70,TCP,54,35157,80,164.124.33.70,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,35157  >  80 [SYN] Seq=0 Win=16384 Len=0
25,2/2/2010 9:40,76.196.12.237,76.196.12.237,TCP,54,12020,80,76.196.12.237,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,12020  >  80 [SYN] Seq=0 Win=16384 Len=0
26,2/2/2010 9:40,164.124.33.73,164.124.33.73,TCP,54,35160,80,164.124.33.73,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,35160  >  80 [SYN] Seq=0 Win=16384 Len=0
27,2/2/2010 9:40,189.109.37.206,189.109.37.206,TCP,54,36102,80,189-109-37-206.customer.tdatabrasil.net.br,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,36102  >  80 [SYN] Seq=0 Win=16384 Len=0
28,2/2/2010 9:40,132.212.36.201,132.212.36.201,TCP,54,35158,80,132.212.36.201,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,35158  >  80 [SYN] Seq=0 Win=16384 Len=0
29,2/2/2010 9:40,61.141.8.140,61.141.8.140,TCP,54,10644,80,61.141.8.140,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,10644  >  80 [SYN] Seq=0 Win=16384 Len=0
30,2/2/2010 9:40,164.124.33.100,164.124.33.100,TCP,54,35187,80,164.124.33.100,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,35187  >  80 [SYN] Seq=0 Win=16384 Len=0
31,2/2/2010 9:40,38.198.26.40,38.198.26.40,TCP,54,14409,80,38.198.26.40,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,14409  >  80 [SYN] Seq=0 Win=16384 Len=0
32,2/2/2010 9:40,76.196.13.19,76.196.13.19,TCP,54,12058,80,76.196.13.19,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,12058  >  80 [SYN] Seq=0 Win=16384 Len=0
33,2/2/2010 9:40,76.196.13.18,76.196.13.18,TCP,54,12057,80,76.196.13.18,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,12057  >  80 [SYN] Seq=0 Win=16384 Len=0
34,2/2/2010 9:40,189.109.37.202,189.109.37.202,TCP,54,36098,80,189-109-37-202.customer.tdatabrasil.net.br,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,36098  >  80 [SYN] Seq=0 Win=16384 Len=0
35,2/2/2010 9:40,164.124.33.97,164.124.33.97,TCP,54,35184,80,164.124.33.97,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,35184  >  80 [SYN] Seq=0 Win=16384 Len=0
36,2/2/2010 9:40,38.198.26.10,38.198.26.10,TCP,54,14379,80,38.198.26.10,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,14379  >  80 [SYN] Seq=0 Win=16384 Len=0
37,2/2/2010 9:40,38.198.26.30,38.198.26.30,TCP,54,14399,80,38.198.26.30,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,14399  >  80 [SYN] Seq=0 Win=16384 Len=0
38,2/2/2010 9:40,38.198.26.41,38.198.26.41,TCP,54,14410,80,38.198.26.41,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,14410  >  80 [SYN] Seq=0 Win=16384 Len=0
39,2/2/2010 9:40,38.198.26.39,38.198.26.39,TCP,54,14408,80,38.198.26.39,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,14408  >  80 [SYN] Seq=0 Win=16384 Len=0
40,2/2/2010 9:40,189.109.37.105,189.109.37.105,TCP,54,36001,80,189-109-37-105.customer.tdatabrasil.net.br,192.168.0.1,00:19:30:c0:ff:ee,00:0e:0c:c0:ff:ee,36001  >  80 [SYN] Seq=0 Win=16384 Len=0
